system mqm_avg_score seg_id
DeepMind.381 -5.666667 1
DeepMind.381 -16.066667 2
DeepMind.381 -18.666667 3
DeepMind.381 -14.333333 4
DeepMind.381 -6.366667 5
DeepMind.381 -0.666667 6
DeepMind.381 -20.700000 7
DeepMind.381 -17.366667 8
DeepMind.381 -3.700000 9
DeepMind.381 -8.666667 10
DeepMind.381 -6.400000 11
DeepMind.381 -10.033333 12
DeepMind.381 -7.666667 13
DeepMind.381 -6.366667 14
DeepMind.381 -6.333333 15
DeepMind.381 -6.333333 16
DeepMind.381 -6.000000 17
DeepMind.381 -5.366667 18
DeepMind.381 -9.333333 19
DeepMind.381 -7.033333 20
DeepMind.381 -5.333333 21
DeepMind.381 -2.533333 22
DeepMind.381 -5.333333 23
DeepMind.381 -4.000000 24
DeepMind.381 -0.000000 25
DeepMind.381 -7.333333 26
DeepMind.381 -3.333333 27
DeepMind.381 -1.666667 28
DeepMind.381 -4.000000 29
DeepMind.381 -1.000000 30
DeepMind.381 -0.666667 31
DeepMind.381 -2.033333 32
DeepMind.381 -16.000000 33
DeepMind.381 -7.333333 34
DeepMind.381 -8.333333 35
DeepMind.381 -4.666667 36
DeepMind.381 -1.000000 37
DeepMind.381 -2.333333 38
DeepMind.381 -6.000000 39
DeepMind.381 -4.333333 40
DeepMind.381 -0.000000 41
DeepMind.381 -1.666667 42
DeepMind.381 -0.333333 43
DeepMind.381 -1.666667 44
DeepMind.381 -2.400000 45
DeepMind.381 -3.333333 46
DeepMind.381 -0.000000 47
DeepMind.381 -0.666667 48
DeepMind.381 -12.000000 49
DeepMind.381 -5.333333 50
DeepMind.381 -13.400000 51
DeepMind.381 -11.333333 52
DeepMind.381 -10.733333 53
DeepMind.381 -11.333333 54
DeepMind.381 -9.000000 55
DeepMind.381 -6.666667 56
DeepMind.381 -7.333333 57
DeepMind.381 -1.666667 58
DeepMind.381 -3.333333 59
DeepMind.381 -9.000000 60
DeepMind.381 -15.333333 61
DeepMind.381 -0.066667 62
DeepMind.381 -3.333333 63
DeepMind.381 -10.000000 64
DeepMind.381 -4.666667 65
DeepMind.381 -13.000000 66
DeepMind.381 -9.700000 67
DeepMind.381 -1.000000 68
DeepMind.381 -16.666667 69
DeepMind.381 -1.000000 70
DeepMind.381 -15.666667 71
DeepMind.381 -14.000000 72
DeepMind.381 -13.433333 73
DeepMind.381 -8.666667 74
DeepMind.381 -1.000000 75
DeepMind.381 -5.666667 76
DeepMind.381 -3.700000 77
DeepMind.381 -3.333333 78
DeepMind.381 -9.400000 79
DeepMind.381 -3.333333 80
DeepMind.381 -0.700000 81
DeepMind.381 -8.800000 82
DeepMind.381 -2.033333 83
DeepMind.381 -16.700000 84
DeepMind.381 -0.666667 85
DeepMind.381 -12.700000 86
DeepMind.381 -5.700000 87
DeepMind.381 -1.666667 88
DeepMind.381 -0.333333 89
DeepMind.381 -1.000000 90
DeepMind.381 -0.066667 91
DeepMind.381 -0.666667 92
DeepMind.381 -0.400000 93
DeepMind.381 -0.666667 94
DeepMind.381 -0.433333 95
DeepMind.381 -11.333333 96
DeepMind.381 -4.000000 97
DeepMind.381 -3.333333 98
DeepMind.381 -9.000000 99
DeepMind.381 -0.000000 100
DeepMind.381 -4.000000 101
DeepMind.381 -3.733333 102
DeepMind.381 -3.766667 103
DeepMind.381 -3.666667 104
DeepMind.381 -23.666667 105
DeepMind.381 -8.733333 106
DeepMind.381 -9.000000 107
DeepMind.381 -6.666667 108
DeepMind.381 -2.000000 109
DeepMind.381 -5.033333 110
DeepMind.381 -0.333333 111
DeepMind.381 -0.333333 112
DeepMind.381 -5.333333 113
DeepMind.381 -20.033333 114
DeepMind.381 -5.333333 115
DeepMind.381 -14.033333 116
DeepMind.381 -7.333333 117
DeepMind.381 -9.133333 118
DeepMind.381 -12.333333 119
DeepMind.381 -3.333333 120
DeepMind.381 -8.333333 121
DeepMind.381 -5.000000 122
DeepMind.381 -6.666667 123
DeepMind.381 -0.000000 124
DeepMind.381 -5.333333 125
